NT,stage,phase,active TPDmin,z,active w*,native TPDmin from independent search,native w*,"amendment effect at same z,w",dominant TPD component terms,influential residual terms/parameters,root-cause class
6,1,raffinate,-0.7734052433698066,"[0.7454989557299558,0.07601178400024851,0.03817110103382644,0.012634585548511825,0.00386108226419038,0.12382249142326704]","[0.0015380685869838854,0.9619899566518867,0.011726683572449551,0.00436831956156262,0.0022900212098881417,0.018086950417229124]",-7.779238170071416e-15,"[0.7454989557299755,0.07601178400040143,0.038171101033939565,0.012634585549533506,0.0038610822632526376,0.12382249142289725]",-3.1813247903918818,"[-0.001189546873546059,-0.7440081197505858,-0.009069462694006311,-0.0033784759513248207,-0.0017711101331096097,-0.013988527967234033]","{""A_MONO_NMP_asymmetry"":-0.7653502246461996,""A_MONO_NMP_ref"":-0.4737294848883485,""A_MONO_NMP_temperature"":-0.7279643349875915,""A_SAT_MONO_asymmetry"":-1.06299025035031,""A_SAT_MONO_ref"":2.23714937146386,""A_SAT_MONO_temperature"":-0.48548171969948983,""A_SAT_NMP_asymmetry"":-0.7115802848147164,""A_SAT_NMP_ref"":-1.0024942506495391,""A_SAT_NMP_temperature"":-0.7868812213640433,""MONO_NMP_block"":-0.42023355778252663,""SAT_MONO+MONO_NMP"":2.588659573740955,""SAT_MONO+SAT_NMP"":2.0547478614347945,""SAT_MONO_block"":2.2354878881536746,""SAT_NMP+MONO_NMP"":-0.6009735845014059,""SAT_NMP_block"":-0.954145270088686,""asymmetry_class"":-0.9931102730716128,""ref_class"":2.307736122665586,""temperature_class"":-0.45351678931151196}",single-MONO-rich-basin-family; endpoint-correlation-class-1
6,1,extract,-0.7734052433698249,"[0.038998710509649745,0.05938747880613419,0.02952545259048515,0.010907570661155315,0.005968904553757226,0.8552118828788184]","[0.0015380707901211021,0.9619899669649784,0.01172666838780591,0.004368318707960583,0.0022900188916828057,0.018086956257451152]",-8.56652068642744e-15,"[0.038998709199215414,0.05938748850125972,0.02952545350308326,0.010907571496177007,0.005968904428881747,0.8552118728713828]",-3.1802465494863856,"[-0.0011895462986519615,-0.7440081171528671,-0.00906946645904639,-0.0033784762666821924,-0.001771110727655871,-0.013988526464921318]","{""A_MONO_NMP_asymmetry"":-0.42052972822552026,""A_MONO_NMP_ref"":1.6436935367249397,""A_MONO_NMP_temperature"":-0.4068918998360821,""A_SAT_MONO_asymmetry"":-0.7721889072801397,""A_SAT_MONO_ref"":-0.6189704682587375,""A_SAT_MONO_temperature"":-0.758635405145291,""A_SAT_NMP_asymmetry"":-0.8033681718656543,""A_SAT_NMP_ref"":-0.8647321228003989,""A_SAT_NMP_temperature"":-0.7787774741551537,""MONO_NMP_block"":2.363082395402987,""SAT_MONO+MONO_NMP"":2.5335033448282926,""SAT_MONO+SAT_NMP"":-0.7296463326562516,""SAT_MONO_block"":-0.6029842939445187,""SAT_NMP+MONO_NMP"":2.2364203566912555,""SAT_NMP_block"":-0.9000672820815571,""asymmetry_class"":-0.4492763206316648,""ref_class"":1.7068014324054528,""temperature_class"":-0.39749429239687734}",single-MONO-rich-basin-family; endpoint-correlation-class-4
6,2,raffinate,-0.723699984891601,"[0.772651369662411,0.06472696118192708,0.03239633847691125,0.010051626705992191,0.0018707222973763508,0.11830298167538197]","[0.001628615932814471,0.9631419000286247,0.010944376015648566,0.003836794163786671,0.001248165213650362,0.01920014864547528]",-5.185073505177306e-16,"[0.7726513716757127,0.06472695461465003,0.03239633607126207,0.01005162569922111,0.0018707221810028494,0.11830298975815126]",-3.2953071957235625,"[-0.0011786291629639417,-0.697025794658352,-0.00792043725707946,-0.0027766871796291092,-0.0009032941306738304,-0.013895142502902703]","{""A_MONO_NMP_asymmetry"":-0.7135804706936755,""A_MONO_NMP_ref"":-0.43887988565416347,""A_MONO_NMP_temperature"":-0.680511693317918,""A_SAT_MONO_asymmetry"":-1.0612370850885786,""A_SAT_MONO_ref"":2.4401620964801523,""A_SAT_MONO_temperature"":-0.4211144365720311,""A_SAT_NMP_asymmetry"":-0.6598122396923348,""A_SAT_NMP_ref"":-0.9462288840031701,""A_SAT_NMP_temperature"":-0.7367900697591278,""MONO_NMP_block"":-0.38557207988255493,""SAT_MONO+MONO_NMP"":2.7433384496117914,""SAT_MONO+SAT_NMP"":2.233479305822914,""SAT_MONO_block"":2.4052105446027445,""SAT_NMP+MONO_NMP"":-0.5573033186623847,""SAT_NMP_block"":-0.8954312236714302,""asymmetry_class"":-0.987229825691387,""ref_class"":2.5024532966060202,""temperature_class"":-0.3910162298658749}",single-MONO-rich-basin-family; endpoint-correlation-class-1
6,2,extract,-0.7236999848915826,"[0.03508165523842545,0.04647421666028962,0.024318511602051215,0.008447676441885474,0.0028688318926454897,0.8828091081647027]","[0.0016286119367027818,0.9631419171709236,0.010944366492978549,0.0038367861407661253,0.0012481612574608072,0.019200157001168023]",-2.7449829815304708e-15,"[0.03508165523845938,0.04647421666034886,0.024318511602123928,0.008447676441859422,0.002868831892447253,0.8828091081647612]",-3.35637478669181,"[-0.0011786300388869405,-0.697025791069015,-0.007920439828789209,-0.0027766893850870314,-0.0009032952366770618,-0.013895139333127313]","{""A_MONO_NMP_asymmetry"":-0.3196826003609645,""A_MONO_NMP_ref"":1.8087254273948263,""A_MONO_NMP_temperature"":-0.33969925113980814,""A_SAT_MONO_asymmetry"":-0.7233636216840368,""A_SAT_MONO_ref"":-0.5836377842566258,""A_SAT_MONO_temperature"":-0.7103047114289672,""A_SAT_NMP_asymmetry"":-0.7524764998511309,""A_SAT_NMP_ref"":-0.8078367717832772,""A_SAT_NMP_temperature"":-0.7286492642224487,""MONO_NMP_block"":2.5967435456772185,""SAT_MONO+MONO_NMP"":2.750537382982336,""SAT_MONO+SAT_NMP"":-0.6877687287685734,""SAT_MONO_block"":-0.5699061475864644,""SAT_NMP+MONO_NMP"":2.478880964495109,""SAT_NMP_block"":-0.8415625660736915,""asymmetry_class"":-0.34812275211296684,""ref_class"":1.8646508411380887,""temperature_class"":-0.33125325700805897}",single-MONO-rich-basin-family; endpoint-correlation-class-4
6,3,extract,-0.6481143572696155,"[0.03244414901514777,0.037136512719927815,0.019580705832977507,0.0063930742899758275,0.0013573782472637243,0.9030881798947074]","[0.0017831338159330036,0.9631311756757108,0.010093109386232027,0.0033290064550115864,0.0006783611705106966,0.02098521349660198]",-8.23256110302273e-15,"[0.03244414900984909,0.03713651271881912,0.019580705831282193,0.006393074289987624,0.00135737824705902,0.903088179903003]",-3.4836043393830343,"[-0.00115568571890088,-0.6242191447432865,-0.0065414917236643,-0.0021575660767702014,-0.0004396454031689928,-0.013600823603824664]","{""A_MONO_NMP_asymmetry"":-0.20429331293469738,""A_MONO_NMP_ref"":1.9648613075447163,""A_MONO_NMP_temperature"":-0.2518995002806692,""A_SAT_MONO_asymmetry"":-0.6484086892753207,""A_SAT_MONO_ref"":-0.518435731949987,""A_SAT_MONO_temperature"":-0.6357121485328006,""A_SAT_NMP_asymmetry"":-0.6759087050454397,""A_SAT_NMP_ref"":-0.7268803893345701,""A_SAT_NMP_temperature"":-0.6527477062347391,""MONO_NMP_block"":2.804897208868581,""SAT_MONO+MONO_NMP"":2.9466837109193205,""SAT_MONO+SAT_NMP"":-0.6175215840247781,""SAT_MONO_block"":-0.5063278552188766,""SAT_NMP+MONO_NMP"":2.693703480062679,""SAT_NMP_block"":-0.7593080860755175,""asymmetry_class"":-0.23238199271622653,""ref_class"":2.0157739007993905,""temperature_class"":-0.24413064050897704}",single-MONO-rich-basin-family; endpoint-correlation-class-2
6,4,raffinate,-0.5271791270715529,"[0.8208517353691236,0.04344772934807774,0.020361474648267493,0.005554007793092173,0.0003999180370283654,0.1093851348044107]","[0.0020693972356203194,0.9613273895201104,0.009202269864346583,0.002855434892470604,0.0003712128370972713,0.024174295650354786]",-1.1665169222613672e-14,"[0.8208517229451593,0.043447729331682686,0.02036148463765844,0.005554006386368024,0.0003999205970154499,0.10938513610211605]",-3.482174642536502,"[-0.0010909446035904788,-0.5067917439960707,-0.004851244416255971,-0.0015053197673695255,-0.0001956925080722713,-0.012744181780193877]","{""A_MONO_NMP_asymmetry"":-0.5117831053942333,""A_MONO_NMP_ref"":-0.2769786189520558,""A_MONO_NMP_temperature"":-0.48924032807008083,""A_SAT_MONO_asymmetry"":-0.9605485881032124,""A_SAT_MONO_ref"":2.9054556344563744,""A_SAT_MONO_temperature"":-0.19888868811303478,""A_SAT_NMP_asymmetry"":-0.4609559697155511,""A_SAT_NMP_ref"":-0.7303663820539846,""A_SAT_NMP_temperature"":-0.5391314551616959,""MONO_NMP_block"":-0.22364379827326464,""SAT_MONO+MONO_NMP"":3.1039119411815226,""SAT_MONO+SAT_NMP"":2.651460186666661,""SAT_MONO_block"":2.800376612383234,""SAT_NMP+MONO_NMP"":-0.3725602239898374,""SAT_NMP_block"":-0.676095552788126,""asymmetry_class"":-0.8789294090698916,""ref_class"":2.9524688875934406,""temperature_class"":-0.17290221720170587}",single-MONO-rich-basin-family; endpoint-correlation-class-5
6,4,extract,-0.527179127071552,"[0.03028031235753809,0.02867817731143807,0.014888476649645108,0.0045679595422458375,0.0006167690315189672,0.920968305107614]","[0.002069405111892654,0.9613273659514704,0.009202277052202066,0.0028554344296233803,0.00037121524766545665,0.024174302207146024]",-3.3137084492830456e-15,"[0.030280313357697507,0.028678180198320607,0.014888477539370235,0.0045679605708645946,0.0006167689590619259,0.9209682993746852]",-3.5882551679584846,"[-0.0010909413105101263,-0.5067917516113489,-0.00485124161453927,-0.0015053201660730343,-0.00019569138852923752,-0.012744180980551302]","{""A_MONO_NMP_asymmetry"":-0.04615703797013434,""A_MONO_NMP_ref"":2.1484050011607443,""A_MONO_NMP_temperature"":-0.12147072457681114,""A_SAT_MONO_asymmetry"":-0.5281016902774797,""A_SAT_MONO_ref"":-0.4070056149493601,""A_SAT_MONO_temperature"":-0.515685968670912,""A_SAT_NMP_asymmetry"":-0.5539697251051163,""A_SAT_NMP_ref"":-0.6008579880389673,""A_SAT_NMP_temperature"":-0.5315132272574454,""MONO_NMP_block"":3.035135492756902,""SAT_MONO+MONO_NMP"":3.165879600073806,""SAT_MONO+SAT_NMP"":-0.5012385789415216,""SAT_MONO_block"":-0.39643501975464834,""SAT_NMP+MONO_NMP"":2.9303319335700295,""SAT_NMP_block"":-0.6319826862584247,""asymmetry_class"":-0.07387019920962648,""ref_class"":2.1948996523155206,""temperature_class"":-0.11431166636206583}",single-MONO-rich-basin-family; endpoint-correlation-class-2
6,5,raffinate,-0.315824166260579,"[0.8455473855176217,0.03151905323448982,0.013946901418553823,0.0035670709045112305,0.00016549177938487522,0.10525409714543862]","[0.0027090545958210837,0.9553034219930133,0.00831223741319347,0.0024267763500538785,0.00020674129804362608,0.03104176834987469]",-2.3100028989339717e-14,"[0.8455474101389384,0.03151905176566039,0.013946896092610059,0.0035670712135197576,0.0001654917769474754,0.10525407901232404]",-3.5547461596738725,"[-0.0008555845448285329,-0.3017079089715456,-0.0026252017523868965,-0.0007664405826287224,-6.529147587284317e-05,-0.009803738933316422]","{""A_MONO_NMP_asymmetry"":-0.2954666924224434,""A_MONO_NMP_ref"":-0.09651627030601305,""A_MONO_NMP_temperature"":-0.282569724666551,""A_SAT_MONO_asymmetry"":-0.8032002665155319,""A_SAT_MONO_ref"":3.2403929814198356,""A_SAT_MONO_temperature"":0.024285449107923004,""A_SAT_NMP_asymmetry"":-0.2500728528840404,""A_SAT_NMP_ref"":-0.49798436580606287,""A_SAT_NMP_temperature"":-0.3265395945984533,""MONO_NMP_block"":-0.04290435487384923,""SAT_MONO+MONO_NMP"":3.3660463079201137,""SAT_MONO+SAT_NMP"":2.966002182026564,""SAT_MONO_block"":3.0931264965333845,""SAT_NMP+MONO_NMP"":-0.17002866938066916,""SAT_NMP_block"":-0.4429484807673989,""asymmetry_class"":-0.7170914793008575,""ref_class"":3.277540677828917,""temperature_class"":0.04682446236407689}",single-MONO-rich-basin-family; endpoint-correlation-class-5
6,5,extract,-0.31582416626053944,"[0.02832879338364836,0.020143504620847585,0.010118014875645868,0.0029167417610348545,0.00025681025199272015,0.9382361351068307]","[0.0027090632244510847,0.9553033944604351,0.00831222720485905,0.002426785771138564,0.00020674283769650176,0.03104178650141976]",-3.5225314889967928e-15,"[0.02832879881489878,0.020143505488035146,0.010118015185246798,0.0029167420909344747,0.0002568102695445334,0.9382361281513403]",-3.6651853168817574,"[-0.0008555792695282863,-0.30170792223755305,-0.0026252095414114897,-0.0007664343676674132,-6.529044071616206e-05,-0.00980373040366302]","{""A_MONO_NMP_asymmetry"":0.20300106398150314,""A_MONO_NMP_ref"":2.398075615834212,""A_MONO_NMP_temperature"":0.09569417603577617,""A_SAT_MONO_asymmetry"":-0.317583391881677,""A_SAT_MONO_ref"":-0.2063948195869578,""A_SAT_MONO_temperature"":-0.3053585587170135,""A_SAT_NMP_asymmetry"":-0.3413488406953574,""A_SAT_NMP_ref"":-0.3835115989719463,""A_SAT_NMP_temperature"":-0.31980582546163494,""MONO_NMP_block"":3.3284191883725693,""SAT_MONO+MONO_NMP"":3.446554916968539,""SAT_MONO+SAT_NMP"":-0.2948822040118915,""SAT_MONO_block"":-0.19768843766456956,""SAT_NMP+MONO_NMP"":3.231225422025248,""SAT_NMP_block"":-0.41301793260786057,""asymmetry_class"":0.17571716392554707,""ref_class"":2.439817529796387,""temperature_class"":0.10217812437820567}",single-MONO-rich-basin-family; endpoint-correlation-class-2
7,1,raffinate,-0.7763561768455921,"[0.743333702854434,0.07690890998515842,0.03879474735319558,0.012821322385944356,0.003856165013182604,0.12428515240808502]","[0.0015325883565923024,0.9619311902324187,0.011842706342210385,0.004403504166289789,0.002268825757867771,0.01802118514462107]",-1.9494471809056903e-14,"[0.7433337064488724,0.07690890865239364,0.03879474691341642,0.012821322155364499,0.0038561649604994626,0.1242851508694536]",-3.172361713618378,"[-0.0011898282868464125,-0.7468012426882009,-0.009194154922543038,-0.0034186825342290153,-0.0017614153756432135,-0.013990853038129369]","{""A_MONO_NMP_asymmetry"":-0.7684543960254702,""A_MONO_NMP_ref"":-0.475507691820182,""A_MONO_NMP_temperature"":-0.7307374437380432,""A_SAT_MONO_asymmetry"":-1.0622978343690905,""A_SAT_MONO_ref"":2.2222198849560866,""A_SAT_MONO_temperature"":-0.48957825843367125,""A_SAT_NMP_asymmetry"":-0.7147062545741263,""A_SAT_NMP_ref"":-1.0059216985660044,""A_SAT_NMP_temperature"":-0.7898601854214474,""MONO_NMP_block"":-0.42198717789251183,""SAT_MONO+MONO_NMP"":2.5774251447975884,""SAT_MONO+SAT_NMP"":2.0416365378197057,""SAT_MONO_block"":2.2230561458445086,""SAT_NMP+MONO_NMP"":-0.6034067859173141,""SAT_NMP_block"":-0.9577757848703942,""asymmetry_class"":-0.992746131277503,""ref_class"":2.2935028482610837,""temperature_class"":-0.4574635339019782}",single-MONO-rich-basin-family; endpoint-correlation-class-1
7,1,extract,-0.7763561768456105,"[0.03932514173680209,0.06048882061246008,0.03008371832733797,0.011094433916482953,0.005967582165746204,0.8530403032411707]","[0.001532581039431756,0.9619312281999919,0.011842698079341797,0.004403493782602904,0.00226882049211419,0.018021178406517492]",-6.072180077394302e-15,"[0.039325141735100766,0.06048882060196365,0.030083718326812416,0.011094433917515998,0.005967582166202837,0.8530403032524044]",-3.1663329011662418,"[-0.0011898294769734587,-0.7468012380949689,-0.009194156034727174,-0.003418684595190376,-0.0017614164492634446,-0.013990852194487232]","{""A_MONO_NMP_asymmetry"":-0.4274803379711607,""A_MONO_NMP_ref"":1.6315635605401078,""A_MONO_NMP_temperature"":-0.4112346844275266,""A_SAT_MONO_asymmetry"":-0.7750616580730094,""A_SAT_MONO_ref"":-0.6207532762187393,""A_SAT_MONO_temperature"":-0.7614746213936477,""A_SAT_NMP_asymmetry"":-0.8064088075385422,""A_SAT_NMP_ref"":-0.8682604906166274,""A_SAT_NMP_temperature"":-0.7817623747451078,""MONO_NMP_block"":2.345560891832642,""SAT_MONO+MONO_NMP"":2.5173398666840767,""SAT_MONO+SAT_NMP"":-0.7319403443576207,""SAT_MONO_block"":-0.6045772019941751,""SAT_NMP+MONO_NMP"":2.218197749469196,""SAT_NMP_block"":-0.9037193192090562,""asymmetry_class"":-0.4562384498914913,""ref_class"":1.695262147395962,""temperature_class"":-0.4017593268750606}",single-MONO-rich-basin-family; endpoint-correlation-class-4
7,2,raffinate,-0.7347670839013706,"[0.7681589610980072,0.06667364866573135,0.03367390330000432,0.010418587956462689,0.0018753227968181263,0.1191995761829764]","[0.001606609786314206,0.9631588851653885,0.011162748424927342,0.0038999880912880315,0.0012235438386287239,0.018948224693453242]",-4.342840776907629e-15,"[0.7681589509229487,0.06667365015467971,0.033673906836249996,0.010418588627940218,0.0018753229128720757,0.11919958054530932]",-3.27713513358754,"[-0.0011804818757429406,-0.707697472653782,-0.008202013084444414,-0.0028655744538037945,-0.0008990117758170107,-0.013922530057780446]","{""A_MONO_NMP_asymmetry"":-0.7250299044036284,""A_MONO_NMP_ref"":-0.44726501327256085,""A_MONO_NMP_temperature"":-0.6911721154016109,""A_SAT_MONO_asymmetry"":-1.0640255400336815,""A_SAT_MONO_ref"":2.4039946266956287,""A_SAT_MONO_temperature"":-0.4345820856875154,""A_SAT_NMP_asymmetry"":-0.6711867667406191,""A_SAT_NMP_ref"":-0.9585697269419887,""A_SAT_NMP_temperature"":-0.7479320957388208,""MONO_NMP_block"":-0.39393286527505866,""SAT_MONO+MONO_NMP"":2.7157553874034854,""SAT_MONO+SAT_NMP"":2.201533831059858,""SAT_MONO_block"":2.3749211687771727,""SAT_NMP+MONO_NMP"":-0.5673202029923746,""SAT_NMP_block"":-0.908154421618687,""asymmetry_class"":-0.9907080433751876,""ref_class"":2.4676940542838213,""temperature_class"":-0.40415212902520564}",single-MONO-rich-basin-family; endpoint-correlation-class-1
7,2,extract,-0.7347670839013762,"[0.0355820808663517,0.04827685371008748,0.02535186797821659,0.008778140337975558,0.0028760759556393984,0.8791349811517293]","[0.0016066097460957617,0.9631588725167258,0.011162767421102907,0.0038999887460338797,0.0012235407353504615,0.018948220834691058]",-7.382929003236039e-15,"[0.035582080852239455,0.04827685372807837,0.025351867985784687,0.008778140342066065,0.0028760759542800825,0.8791349811375514]",-3.332998818322212,"[-0.0011804820262734524,-0.7076974755706423,-0.008202007936713223,-0.002865574245414054,-0.0008990125927921353,-0.013922531529541182]","{""A_MONO_NMP_asymmetry"":-0.3379218174044906,""A_MONO_NMP_ref"":1.7827095289767694,""A_MONO_NMP_temperature"":-0.3530330901347681,""A_SAT_MONO_asymmetry"":-0.7343085874181742,""A_SAT_MONO_ref"":-0.592794670955751,""A_SAT_MONO_temperature"":-0.7211891214894436,""A_SAT_NMP_asymmetry"":-0.7637142405145134,""A_SAT_NMP_ref"":-0.8198792015635002,""A_SAT_NMP_temperature"":-0.7397737362863034,""MONO_NMP_block"":2.5612887892402627,""SAT_MONO+MONO_NMP"":2.7172976610810236,""SAT_MONO+SAT_NMP"":-0.6978241387208046,""SAT_MONO_block"":-0.5787582120606162,""SAT_NMP+MONO_NMP"":2.4422228625800746,""SAT_NMP_block"":-0.8538330105615642,""asymmetry_class"":-0.3664104775344256,""ref_class"":1.8395698242602703,""temperature_class"":-0.3444617801077626}",single-MONO-rich-basin-family; endpoint-correlation-class-4
8,1,raffinate,-0.7784463898643029,"[0.7417037927560601,0.07757966660468334,0.039273350944721834,0.012959434369561032,0.003848472368014807,0.12463528295695891]","[0.0015287244271852492,0.9618827644619244,0.011933469316261817,0.004429426312586035,0.002251030992434693,0.017974584489607787]",-8.277737778800514e-15,"[0.7417037930541903,0.07757966666577598,0.039273350823237956,0.012959434384541363,0.003848472103932965,0.12463528296832153]",-3.16560786604324,"[-0.001190028942154835,-0.7487741658246068,-0.009289568422790166,-0.0034480712993209418,-0.0017523068372979215,-0.013992248538132386]","{""A_MONO_NMP_asymmetry"":-0.7706580026384033,""A_MONO_NMP_ref"":-0.4767200888021615,""A_MONO_NMP_temperature"":-0.7326945503676904,""A_SAT_MONO_asymmetry"":-1.0616682055671904,""A_SAT_MONO_ref"":2.2111253732993323,""A_SAT_MONO_temperature"":-0.49252962486885654,""A_SAT_NMP_asymmetry"":-0.7169295494240412,""A_SAT_NMP_ref"":-1.0083638910171546,""A_SAT_NMP_temperature"":-0.7919711033493212,""MONO_NMP_block"":-0.4231798620796491,""SAT_MONO+MONO_NMP"":2.569086850376545,""SAT_MONO+SAT_NMP"":2.0318949483942843,""SAT_MONO_block"":2.2138203225918907,""SAT_NMP+MONO_NMP"":-0.6051052362772563,""SAT_NMP_block"":-0.9603717640619102,""asymmetry_class"":-0.9923629779010292,""ref_class"":2.282934173208622,""temperature_class"":-0.46030249885726215}",single-MONO-rich-basin-family; endpoint-correlation-class-1
8,1,extract,-0.7784463898643061,"[0.03957614443759843,0.061331424785770104,0.03051491920495165,0.01123428776697649,0.005960827665628521,0.8513823961390747]","[0.0015287268569699314,0.9618827441229738,0.011933480369742478,0.004429431046774731,0.0022510307892506585,0.017974586814288367]",0.0,"[0.03957614443759843,0.061331424785770104,0.03051491920495165,0.01123428776697649,0.005960827665628521,0.8513823961390747]",-3.1557109193700654,"[-0.0011900286311918298,-0.7487741686176248,-0.009289566220188866,-0.0034480703404697853,-0.0017523069246151881,-0.01399224913021576]","{""A_MONO_NMP_asymmetry"":-0.4326106012422028,""A_MONO_NMP_ref"":1.6224511763267817,""A_MONO_NMP_temperature"":-0.41438969441050205,""A_SAT_MONO_asymmetry"":-0.7770917507653192,""A_SAT_MONO_ref"":-0.6219490226334409,""A_SAT_MONO_temperature"":-0.7634792893851383,""A_SAT_NMP_asymmetry"":-0.8085669393345337,""A_SAT_NMP_ref"":-0.8707919256667205,""A_SAT_NMP_temperature"":-0.7838785422976171,""MONO_NMP_block"":2.3323436604026893,""SAT_MONO+MONO_NMP"":2.50516276721171,""SAT_MONO+SAT_NMP"":-0.7335255207612378,""SAT_MONO_block"":-0.6056272830552858,""SAT_NMP+MONO_NMP"":2.2044454226967383,""SAT_NMP_block"":-0.9063446275702582,""asymmetry_class"":-0.46137651161344295,""ref_class"":1.686603007755233,""temperature_class"":-0.4048547463646449}",single-MONO-rich-basin-family; endpoint-correlation-class-4
8,2,raffinate,-0.7422983568616841,"[0.7648047687802428,0.06811102020441828,0.03464608279910159,0.010688494893183926,0.0018732535839591218,0.1198763797390943]","[0.0015918455375120045,0.9631468733823548,0.011333639364646939,0.003946508927774655,0.001202961015623756,0.01877817177208775]",-3.982418148175892e-15,"[0.7648047693396608,0.06811101921390979,0.03464608325684821,0.010688493927611443,0.0018732537317405012,0.11987638053022914]",-3.2634912127564655,"[-0.0011816275529512384,-0.7149423606543618,-0.008412930812807027,-0.0029294810959903574,-0.000892958273816254,-0.013938998471757346]","{""A_MONO_NMP_asymmetry"":-0.7328358355817426,""A_MONO_NMP_ref"":-0.4528364031939722,""A_MONO_NMP_temperature"":-0.6984062042784938,""A_SAT_MONO_asymmetry"":-1.0654680291604917,""A_SAT_MONO_ref"":2.377737118865695,""A_SAT_MONO_temperature"":-0.44390429892912203,""A_SAT_NMP_asymmetry"":-0.6789552859401046,""A_SAT_NMP_ref"":-0.9670083197174234,""A_SAT_NMP_temperature"":-0.7555167410630352,""MONO_NMP_block"":-0.3994817293308407,""SAT_MONO+MONO_NMP"":2.6957781320302923,""SAT_MONO+SAT_NMP"":2.1783762283639385,""SAT_MONO_block"":2.3529615044994494,""SAT_NMP+MONO_NMP"":-0.5740670054663517,""SAT_NMP_block"":-0.9168836329971953,""asymmetry_class"":-0.9926624369589707,""ref_class"":2.442489109677668,""temperature_class"":-0.41323053054728315}",single-MONO-rich-basin-family; endpoint-correlation-class-1
8,2,extract,-0.742298356861696,"[0.03596521630325749,0.04963790814988074,0.026143748679636862,0.009023407293525822,0.0028733165548695387,0.8763564030188296]","[0.0015918512270636615,0.9631468849945329,0.011333633890914055,0.003946509877037934,0.0012029670305119223,0.0187781529799396]",-3.688324697221043e-15,"[0.03596521906123377,0.0496379079772541,0.02614374879713449,0.009023407310244043,0.002873316501629773,0.8763564003525038]",-3.315266779398296,"[-0.0011816260421535088,-0.714942358545416,-0.008412932128257382,-0.0029294808024548724,-0.0008929566834369456,-0.013939002659977268]","{""A_MONO_NMP_asymmetry"":-0.3508273129966195,""A_MONO_NMP_ref"":1.7637772900982613,""A_MONO_NMP_temperature"":-0.3622931323835426,""A_SAT_MONO_asymmetry"":-0.7417475545601456,""A_SAT_MONO_ref"":-0.5988788403391124,""A_SAT_MONO_temperature"":-0.7285819963091216,""A_SAT_NMP_asymmetry"":-0.7713724870734417,""A_SAT_NMP_ref"":-0.8281461160226449,""A_SAT_NMP_temperature"":-0.7473482827706017,""MONO_NMP_block"":2.535253558441491,""SAT_MONO+MONO_NMP"":2.6929402378181995,""SAT_MONO+SAT_NMP"":-0.704583492766587,""SAT_MONO_block"":-0.584611677484987,""SAT_NMP+MONO_NMP"":2.4152817431598907,""SAT_NMP_block"":-0.8622701721432966,""asymmetry_class"":-0.37935064090681453,""ref_class"":1.8213490474598968,""temperature_class"":-0.3536266977398743}",single-MONO-rich-basin-family; endpoint-correlation-class-4
8,3,raffinate,-0.6949164910114939,"[0.7843567255242949,0.059962816323202175,0.03006032639999037,0.008674890008694832,0.0009013213248295871,0.11604392041898814]","[0.0016827764650043995,0.9636729043698314,0.010663669187225954,0.003483181031853975,0.0006378820980548793,0.019859586848029354]",0.0,"[0.7843567255242949,0.059962816323202175,0.03006032639999037,0.008674890008694832,0.0009013213248295871,0.11604392041898814]",-3.344210531668227,"[-0.0011693978056283158,-0.669672159116801,-0.007410343962391543,-0.0024205412199989154,-0.000443284861022425,-0.01380076404565172]","{""A_MONO_NMP_asymmetry"":-0.6838388873775785,""A_MONO_NMP_ref"":-0.4168548576818205,""A_MONO_NMP_temperature"":-0.6527530098251284,""A_SAT_MONO_asymmetry"":-1.0541197376762645,""A_SAT_MONO_ref"":2.5356850291649073,""A_SAT_MONO_temperature"":-0.38594811399526724,""A_SAT_NMP_asymmetry"":-0.6302394687391568,""A_SAT_NMP_ref"":-0.9141557744425233,""A_SAT_NMP_temperature"":-0.7078130668623864,""MONO_NMP_block"":-0.3636137728615402,""SAT_MONO+MONO_NMP"":2.8167528776663175,""SAT_MONO+SAT_NMP"":2.3179913225067796,""SAT_MONO_block"":2.4854501595163634,""SAT_NMP+MONO_NMP"":-0.5310726098711241,""SAT_NMP_block"":-0.8623753280210784,""asymmetry_class"":-0.9783651117700117,""ref_class"":2.5945073790635513,""temperature_class"":-0.3566812086597944}",single-MONO-rich-basin-family; endpoint-correlation-class-5
