         5362873 function calls (5294927 primitive calls) in 77.540 seconds

   Ordered by: cumulative time
   List reduced from 1972 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    79231    0.034    0.000    0.034    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.033    0.033 _linprog.py:1(<module>)
  13801/5    0.030    0.000    0.032    0.006 engine.py:74(mu)
     4028    0.017    0.000    0.032    0.000 _aliases.py:274(_asarray)
     3318    0.010    0.000    0.031    0.000 _optimize.py:307(_check_clip_x)
   3758/4    0.026    0.000    0.030    0.007 _differentiable_functions.py:15(wrapped)
    22153    0.011    0.000    0.029    0.000 _aliases.py:236(astype)
       98    0.002    0.000    0.029    0.000 _parser.py:969(parse)
        1    0.000    0.000    0.028    0.028 npyio.py:1(<module>)
        2    0.000    0.000    0.028    0.014 _linalg.py:1(<module>)
        1    0.000    0.000    0.027    0.027 numeric.py:1(<module>)
   496/98    0.002    0.000    0.027    0.000 _parser.py:452(_parse_sub)
   658/98    0.009    0.000    0.027    0.000 _parser.py:512(_parse)
      723    0.004    0.000    0.025    0.000 engine.py:97(softmax)
        1    0.000    0.000    0.025    0.025 rules.py:1(<module>)
    28892    0.024    0.000    0.024    0.000 {method 'astype' of 'numpy.ndarray' objects}
     1951    0.004    0.000    0.024    0.000 _differentiable_functions.py:269(_update_x)


