         3942199 function calls (3855275 primitive calls) in 45.138 seconds

   Ordered by: cumulative time
   List reduced from 1978 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      478    0.031    0.000    0.041    0.000 _linalg.py:2443(lstsq)
        1    0.000    0.000    0.040    0.040 _geometric_slerp.py:1(<module>)
     1178    0.022    0.000    0.039    0.000 common.py:372(step_size_to_bound)
        1    0.000    0.000    0.036    0.036 defmatrix.py:1(<module>)
     4028    0.018    0.000    0.033    0.000 _aliases.py:274(_asarray)
        1    0.000    0.000    0.033    0.033 distance.py:1(<module>)
        1    0.000    0.000    0.033    0.033 _root.py:1(<module>)
    79231    0.032    0.000    0.032    0.000 {built-in method numpy.array}
     3318    0.010    0.000    0.031    0.000 _optimize.py:307(_check_clip_x)
        1    0.000    0.000    0.030    0.030 npyio.py:1(<module>)
   3758/4    0.024    0.000    0.030    0.007 _differentiable_functions.py:15(wrapped)
        1    0.000    0.000    0.029    0.029 _linprog.py:1(<module>)
        1    0.000    0.000    0.028    0.028 multiarray.py:1(<module>)
        1    0.000    0.000    0.028    0.028 _testutils.py:1(<module>)
    22153    0.011    0.000    0.028    0.000 _aliases.py:236(astype)
        2    0.000    0.000    0.027    0.014 overrides.py:1(<module>)
       98    0.002    0.000    0.026    0.000 _parser.py:969(parse)
        2    0.000    0.000    0.026    0.013 _linalg.py:1(<module>)


