"metric","count","exact","withinTolerance","outsideTolerance","nullPairs","maxAbs","maxRelative"
"currentStage1Basis.rrboFeed.dynamicViscosityPaS","1","1","1","0","0","0","0"
"currentStage1Basis.rrboFeed.flowM3S","1","1","1","0","0","0","0"
"currentStage1Basis.rrboFeed.identity","1","1","1","0","0","0","0"
"currentStage1Basis.rrboFeed.valueLph","1","1","1","0","0","0","0"
"currentStage1Basis.schemaVersion","1","1","1","0","0","0","0"
"currentStage1Basis.stage1SnapshotHash","1","1","1","0","0","0","0"
"currentStage1Basis.temperatureK","1","1","1","0","0","0","0"
"currentStage1Basis.wetSolventPhase.conversion","1","1","1","0","0","0","0"
"currentStage1Basis.wetSolventPhase.densityKgM3","1","1","1","0","0","0","0"
"currentStage1Basis.wetSolventPhase.dynamicViscosityPaS","1","1","1","0","0","0","0"
"currentStage1Basis.wetSolventPhase.flowM3S","1","1","1","0","0","0","0"
"currentStage1Basis.wetSolventPhase.identity","1","1","1","0","0","0","0"
"currentStage1Basis.wetSolventPhase.solventOilMassRatio","1","1","1","0","0","0","0"
"controls.compareOrientations","1","1","1","0","0","0","0"
"controls.diameterMaxM","1","1","1","0","0","0","0"
"controls.diameterMinM","1","1","1","0","0","0","0"
"controls.diameterStepM","1","1","1","0","0","0","0"
"controls.freeArea.length","1","1","1","0","0","0","0"
"controls.freeArea.[]","3","3","3","0","0","0","0"
"controls.hcToColumn.length","1","1","1","0","0","0","0"
"controls.hcToColumn.[]","3","3","3","0","0","0","0"
"controls.minimumUsefulWindowRpm","1","1","1","0","0","0","0"
"controls.rotorToColumn.length","1","1","1","0","0","0","0"
"controls.rotorToColumn.[]","3","3","3","0","0","0","0"
"controls.rpmMax","1","1","1","0","0","0","0"
"controls.rpmMin","1","1","1","0","0","0","0"
"controls.rpmStep","1","1","1","0","0","0","0"
"trial.actualLoading","3402","3402","3402","0","0","0","0"
"trial.buoyancyDirection","3402","3402","3402","0","0","0","0"
"trial.compartmentHeightM","3402","3402","3402","0","0","0","0"
"trial.d32M","3402","3402","3402","0","0","0","0"
"trial.designFloodFraction","3402","3402","3402","0","0","0","0"
"trial.diameterM","3402","3402","3402","0","0","0","0"
"trial.floodHoldup","3402","3402","3402","0","0","0","0"
"trial.freeArea","3402","3402","3402","0","0","0","0"
"trial.hcToColumn","3402","3402","3402","0","0","0","0"
"trial.holdup","3402","3402","3402","0","3074","0","0"
"trial.hydraulicPass","3402","3402","3402","0","0","0","0"
"trial.interfacialAreaM2M3","3402","3402","3402","0","3074","0","0"
"trial.powerVolumeWM3","3402","3402","3402","0","0","0","0"
"trial.powerW","3402","3402","3402","0","0","0","0"
"trial.psiWKg","3402","3402","3402","0","0","0","0"
"trial.reasons.length","3402","3402","3402","0","0","0","0"
"trial.reasons.[]","6318","6318","6318","0","0","0","0"
"trial.rotorDiameterM","3402","3402","3402","0","0","0","0"
"trial.rotorReynolds","3402","3402","3402","0","0","0","0"
"trial.rotorToColumn","3402","3402","3402","0","0","0","0"
