D_m,rpm,rotor_D,hc_D,free_area,pass,reasons,d32_mm,epsilon_W_kg,terminal_m_s,Garthe_factor,characteristic_m_s,capacity_m_s,loading,flood_phi,operating_phi,root_count,tip_m_s,rotor_Re
0.2,30,0.33,0.2,0.2,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,14.056778998905356,0.000149486189899055,0.11405181974781468,1.2134927624128233,0.13840105780398504,0.03212205764828536,1.6666427480392039,0.19407463989564544,,0,0.10367255756846318,31.650200668896325
0.2,35,0.33,0.2,0.2,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,11.682873367667431,0.00023737853303414756,0.0913878941993183,1.2414086471685097,0.11344972210555462,0.02567102819151478,2.0854635830016206,0.1893050267848838,,0,0.12095131716320705,36.925234113712385
0.2,40,0.33,0.2,0.2,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,9.953122126424251,0.00035433763531627846,0.07452307288901536,1.2594950417954744,0.09386144080307758,0.020740713639802125,2.581203104259376,0.18507657902892005,,0,0.1382300767579509,42.200267558528424
0.2,45,0.33,0.2,0.2,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,8.641244749893886,0.0005045158909093106,0.061623856367650755,1.2714659584168304,0.07835263559783616,0.016941355007602712,3.1600774794924535,0.18138630507419545,,0,0.15550883635269477,47.47530100334449
0.2,50,0.33,0.2,0.2,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,7.6149545810570896,0.0006920656939771064,0.05155303950943275,1.2794048415209986,0.06595720834349159,0.013984085192821788,3.828351564898414,0.17820028585209113,,0,0.17278759594743864,52.75033444816055
0.2,55,0.33,0.2,0.2,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,6.7919752578095975,0.0009211394386835286,0.04356282271287055,1.28456522385263,0.05595928710981099,0.011658406062877777,4.592050932423701,0.1754692019896718,,0,0.19006635554218249,58.02536789297659
0.2,60,0.33,0.2,0.2,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,6.118568437813093,0.00119588951919244,0.037139267308354554,1.2877439749202122,0.047825867709284785,0.009810749985799177,5.456870729465544,0.17313818218586674,,0,0.20734511513692636,63.30040133779265
0.2,65,0.33,0.2,0.2,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,5.558214394220562,0.0015204683296677023,0.03191707217689844,1.2894705558734465,0.041156124801798144,0.008328343320988908,6.428168528630634,0.1711528583897492,,0,0.2246238747316702,68.5754347826087
0.2,70,0.33,0.2,0.2,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,5.085265995570085,0.0018990282642731805,0.0276297648121978,1.290109693964042,0.03564542742616296,0.007127685453876537,7.510992843054739,0.16946267076502824,,0,0.2419026343264141,73.85046822742477
0.2,30,0.33,0.2,0.3,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,14.056778998905356,0.000149486189899055,0.11405181974781468,1.4207655605274923,0.16204089761318444,0.037988652886936085,1.4092627762018517,0.19603670012985575,,0,0.10367255756846318,31.650200668896325
0.2,35,0.33,0.2,0.3,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,11.682873367667431,0.00023737853303414756,0.0913878941993183,1.4486814452831787,0.13239194665005466,0.030268539915376473,1.7687009211969176,0.19121625524120317,,0,0.12095131716320705,36.925234113712385
0.2,40,0.33,0.2,0.3,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,9.953122126424251,0.00035433763531627846,0.07452307288901536,1.4667678399101431,0.1093080466448872,0.024405457311947862,2.193607509473019,0.18689621444519067,,0,0.1382300767579509,42.200267558528424
0.2,45,0.33,0.2,0.3,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,8.641244749893886,0.0005045158909093106,0.061623856367650755,1.478738756531499,0.09112558473777559,0.019904154345546685,2.689689473976073,0.18308802710673566,,0,0.15550883635269477,47.47530100334449
0.2,50,0.33,0.2,0.3,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,7.6149545810570896,0.0006920656939771064,0.05155303950943275,1.4866776396356673,0.07664275109392778,0.0164092345536841,3.2625528178334475,0.17977050817448503,,0,0.17278759594743864,52.75033444816055
0.2,55,0.33,0.2,0.3,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,6.7919752578095975,0.0009211394386835286,0.04356282271287055,1.4918380219672986,0.06498867526728092,0.013665835157777024,3.9175062346003418,0.17690411588355626,,0,0.19006635554218249,58.02536789297659
0.2,60,0.33,0.2,0.3,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,6.118568437813093,0.00119588951919244,0.037139267308354554,1.4950167730348811,0.05552382756421608,0.01148963196403746,4.65950472558039,0.1744407598205986,,0,0.20734511513692636,63.30040133779265
0.2,65,0.33,0.2,0.3,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,5.558214394220562,0.0015204683296677023,0.03191707217689844,1.4967433539881152,0.04777166565953172,0.00974594252910336,5.493157205856971,0.17233026351180109,,0,0.2246238747316702,68.5754347826087
0.2,70,0.33,0.2,0.3,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,5.085265995570085,0.0018990282642731805,0.0276297648121978,1.4973824920787107,0.04137232609003741,0.008335353567246389,6.422762273934088,0.17052437103433787,,0,0.2419026343264141,73.85046822742477
0.2,30,0.33,0.2,0.4,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,14.056778998905356,0.000149486189899055,0.11405181974781468,1.630303724471891,0.18593910651765905,0.043964780653297904,1.2177018430682462,0.1977357981202923,,0,0.10367255756846318,31.650200668896325
0.2,35,0.33,0.2,0.4,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,11.682873367667431,0.00023737853303414756,0.0913878941993183,1.6582196092275774,0.15154119820732476,0.03495685684347774,1.5314876469393097,0.19289878678363515,,0,0.12095131716320705,36.925234113712385
0.2,40,0.33,0.2,0.4,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,9.953122126424251,0.00035433763531627846,0.07452307288901536,1.6763060038545419,0.12492347450954608,0.02814562569888938,1.9021070984300252,0.18852026334704136,,0,0.1382300767579509,42.200267558528424
0.2,45,0.33,0.2,0.4,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,8.641244749893886,0.0005045158909093106,0.061623856367650755,1.6882769204758978,0.10403813445622646,0.022929567296496447,2.3348017753388715,0.18462453580788518,,0,0.15550883635269477,47.47530100334449
0.2,50,0.33,0.2,0.4,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,7.6149545810570896,0.0006920656939771064,0.05155303950943275,1.696215803580066,0.08744508033848736,0.018886319280003654,2.834644148385999,0.1812022851840689,,0,0.17278759594743864,52.75033444816055
0.2,55,0.33,0.2,0.4,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,6.7919752578095975,0.0009211394386835286,0.04356282271287055,1.7013761859116974,0.07411674915477115,0.015716341515441087,3.4063903726585263,0.178223458221637,,0,0.19006635554218249,58.02536789297659
0.2,60,0.33,0.2,0.4,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,6.118568437813093,0.00119588951919244,0.037139267308354554,1.7045549369792798,0.06330592144624893,0.01320428670796309,4.054440471920847,0.17564687011566615,,0,0.20734511513692636,63.30040133779265
0.2,65,0.33,0.2,0.4,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,5.558214394220562,0.0015204683296677023,0.03191707217689844,1.706281517932514,0.054459510361959874,0.011193321852728502,4.782851340825335,0.1734269671417013,,0,0.2246238747316702,68.5754347826087
0.2,70,0.33,0.2,0.4,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,5.085265995570085,0.0018990282642731805,0.0276297648121978,1.7069206560231094,0.047161816279000894,0.00956790227803159,5.595374291659888,0.17151825732941528,,0,0.2419026343264141,73.85046822742477
0.2,30,0.4,0.2,0.2,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,9.567395206129955,0.00039113918814264224,0.0707349464342299,1.2484273406934838,0.08830744107098165,0.019380723053431994,2.7623321526248077,0.1838996034485394,,0,0.12566370614359174,46.50167224080269
0.2,35,0.4,0.2,0.2,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,7.951655685868643,0.000621114544133918,0.05484897102145083,1.2645730433247167,0.06936053020782527,0.014795159255919121,3.618480443878548,0.17917113409144148,,0,0.1466076571675237,54.25195094760315
0.2,40,0.4,0.2,0.2,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,6.774343747297505,0.0009271447422640407,0.04339305731023005,1.2737589389117958,0.05527229463561737,0.011504782634812267,4.6533686146853155,0.17532977532580413,,0,0.16755160819145565,62.002229654403585
0.2,45,0.4,0.2,0.2,false,NO_DILUTE_CONNECTED_ROOT;ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION,5.8814472078965245,0.0013200947599814176,0.03491321377720707,1.2786403599263303,0.044641444230272956,0.009101645303674497,5.882012827944261,0.17223884640484743,,0,0.1884955592153876,69.75250836120404
