"trialKey","diameterM","hcToColumn","rotorToColumn","freeArea","rpm","maxLoading","marginAbsolute","marginPercentagePoints","controllingScenario","controllingCapacityMS","controllingPhiOperating","controllingPhiTurning","controllingSeparationPP","controllingD32MM","controllingAreaM2M3","minSeparationPP","worstSeparationScenarios","worstSeparationDiffersFromControlling","d32MinMM","d32MaxMM","phiMin","phiMax","minAreaM2M3","maxAreaM2M3","minRootDistance","maxOperatingResidualMS","maxVelocityClosureMS","maxForceResidualN","allSixTwoDistinctRoots","allSixContinuation16Monotone","allSixSignedDirectionsValid","branchStatuses","rotorRe","powerVolumeWM3","paretoWithinDiameter2D","paretoGlobal2D","paretoGlobal3D","selectedBestMargin"
"0.3|0.3|0.33|0.4|30","0.3","0.3","0.33","0.4","30","0.674354050911411","0.02564594908858897","2.564594908858897","0.36/SN","0.035283802730599216","0.07282611628924014","0.19327465390555387","12.044853761631373","11.952240223390644","36.55856053497926","12.044853761631373","0.36/SN","false","11.952240223390644","14.27628693349438","0.030786361434867578","0.07282611628924014","12.938810313193414","36.55856053497926","0.2979312624630229","5.551115123125783e-17","5.551115123125783e-17","8.673617379884035e-19","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","71.21295150501673","0.1948552485334183","true","false","false","true"
"0.4|0.2|0.33|0.4|30","0.4","0.2","0.33","0.4","30","0.6537341156178873","0.046265884382112654","4.626588438211265","0.36/SN","0.020473153057421374","0.06560266386297214","0.1826630505730421","11.706038671006997","8.073499456299725","48.75407316348992","11.706038671006997","0.36/SN","false","8.073499456299725","9.64334657280245","0.02926530431441321","0.06560266386297214","18.20859849439701","48.75407316348992","0.2945643334282307","2.7755575615628914e-17","2.7755575615628914e-17","2.168404344971009e-19","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","126.6008026755853","0.5196139960891152","true","false","false","false"
"0.4|0.25|0.33|0.3|30","0.4","0.25","0.33","0.3","30","0.6700148545968493","0.02998514540315067","2.998514540315067","0.36/SN","0.019975674443749782","0.06829685690359553","0.18335550602109452","11.505864911749898","8.827258109519795","46.42224531529705","11.505864911749898","0.36/SN","false","8.827258109519795","10.543669408593088","0.030148549941867497","0.06829685690359553","17.15638954914298","46.42224531529705","0.28726020352463655","2.7755575615628914e-17","2.7755575615628914e-17","4.336808689942018e-19","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","126.6008026755853","0.4156911968712922","false","false","false","false"
"0.4|0.25|0.33|0.4|30","0.4","0.25","0.33","0.4","30","0.5794834885860894","0.12051651141391051","12.051651141391051","0.36/SN","0.023096427890567324","0.05611267723594654","0.18493891508751276","12.882623785156621","8.827258109519795","38.14050288759422","12.882623785156621","0.36/SN","false","8.827258109519795","10.543669408593088","0.025757388990667818","0.05611267723594654","14.657547382702772","38.14050288759422","0.33412098398761964","5.551115123125783e-17","5.551115123125783e-17","4.336808689942018e-19","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","126.6008026755853","0.4156911968712922","true","false","false","false"
"0.4|0.3|0.33|0.3|30","0.4","0.3","0.33","0.3","30","0.6154923484826151","0.08450765151738482","8.450765151738482","0.36/SN","0.021745190888073314","0.06102620615079801","0.18507857802449434","12.405237187369632","9.495073348918465","38.56286554610925","12.405237187369632","0.36/SN","false","9.495073348918465","11.341337611208166","0.027443499787880833","0.06102620615079801","14.518657707937157","38.56286554610925","0.3166668900974673","2.7755575615628914e-17","2.7755575615628914e-17","8.673617379884035e-19","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","126.6008026755853","0.3464093307260768","false","false","false","false"
"0.4|0.3|0.33|0.4|30","0.4","0.3","0.33","0.4","30","0.5305906609972023","0.16940933900279764","16.940933900279763","0.36/SN","0.02522471575875245","0.05042053113951332","0.18673705121136924","13.63165200718559","9.495073348918465","31.861068969155333","13.63165200718559","0.36/SN","false","9.495073348918465","11.341337611208166","0.023413902834451585","0.05042053113951332","12.386847285797725","31.861068969155333","0.3605379763913314","2.7755575615628914e-17","2.7755575615628914e-17","8.673617379884035e-19","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","126.6008026755853","0.3464093307260768","true","false","false","true"
"0.5|0.2|0.33|0.3|30","0.5","0.2","0.33","0.3","30","0.6626097559756621","0.03739024402433788","3.739024402433788","0.36/SN","0.012927306052784028","0.06441686110055382","0.17634286526044646","11.192600415989263","6.753576287464906","57.22911094092402","11.192600415989263","0.36/SN","false","6.753576287464906","8.066771676694191","0.028269091277655034","0.06441686110055382","21.026323102210224","57.22911094092402","0.28253226326076014","1.3877787807814457e-17","1.3877787807814457e-17","2.710505431213761e-19","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","197.81375418060202","0.8118968688892428","true","false","false","false"
"0.5|0.2|0.33|0.4|30","0.5","0.2","0.33","0.4","30","0.5728765640574948","0.1271234359425052","12.71234359425052","0.36/SN","0.014952189784810698","0.05292396586063278","0.17769336556274234","12.476939970210957","6.753576287464906","47.01861379032312","12.476939970210957","0.36/SN","false","6.753576287464906","8.066771676694191","0.024160228942503484","0.05292396586063278","17.97018428993479","47.01861379032312","0.32752259151683427","2.7755575615628914e-17","2.7755575615628914e-17","2.710505431213761e-19","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","197.81375418060202","0.8118968688892428","true","false","false","false"
"0.5|0.25|0.33|0.2|30","0.5","0.25","0.33","0.2","30","0.6924301586348149","0.007569841365185015","0.7569841365185015","0.36/SN","0.012370574854720437","0.06899601522025328","0.17675654808398367","10.776053286373038","7.384104176196774","56.063143401470874","10.776053286373038","0.36/SN","false","7.384104176196774","8.819902210457258","0.029978026330276568","0.06899601522025328","20.39344129784114","56.063143401470874","0.26819096422077354","1.3877787807814457e-17","1.3877787807814457e-17","2.168404344971009e-19","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","197.81375418060202","0.6495174951113942","false","false","false","false"
"0.5|0.25|0.33|0.3|30","0.5","0.25","0.33","0.3","30","0.5840528488160727","0.11594715118392729","11.59471511839273","0.36/SN","0.014666068535444153","0.05455384233243585","0.17836249767770318","12.380865534526734","7.384104176196774","44.328065555977126","12.380865534526734","0.36/SN","false","7.384104176196774","8.819902210457258","0.02491555738734116","0.05455384233243585","16.949546690755955","44.328065555977126","0.32304518342640753","1.3877787807814457e-17","1.3877787807814457e-17","2.168404344971009e-19","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","197.81375418060202","0.6495174951113942","false","false","false","false"
"0.5|0.25|0.33|0.4|30","0.5","0.25","0.33","0.4","30","0.5035020694834849","0.1964979305165151","19.64979305165151","0.36/SN","0.017012361275585357","0.04526624088354696","0.17982374853954863","13.455750765600166","7.384104176196774","36.78136694994051","13.455750765600166","0.36/SN","false","7.384104176196774","8.819902210457258","0.02129517645469095","0.04526624088354696","14.486675212413896","36.78136694994051","0.36357477607341854","2.7755575615628914e-17","2.7755575615628914e-17","2.168404344971009e-19","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","197.81375418060202","0.6495174951113942","true","false","false","false"
"0.5|0.25|0.33|0.4|35","0.5","0.25","0.33","0.4","35","0.6927641780425516","0.0072358219574483185","0.7235821957448318","0.36/SN","0.012364610325639255","0.06833624793625703","0.17509656092821946","10.676031299196243","6.137078347101356","66.80988320952433","10.676031299196243","0.36/SN","false","6.137078347101356","7.330399136815509","0.02926524782769191","0.06833624793625703","23.953878047960206","66.80988320952433","0.26618189867318287","0","0","5.421010862427522e-20","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","230.78271321070238","1.0314097260333714","true","false","false","false"
"0.5|0.3|0.33|0.2|30","0.5","0.3","0.33","0.2","30","0.6346606939389134","0.06533930606108651","6.533930606108651","0.36/SN","0.013496596198349706","0.061227470621350505","0.17826440178405145","11.703693116270095","7.94273939870754","46.25165264617412","11.703693116270095","0.36/SN","false","7.94273939870754","9.487160948456228","0.0274064545768929","0.061227470621350505","17.332764602050442","46.25165264617412","0.298496976154523","2.7755575615628914e-17","2.7755575615628914e-17","2.168404344971009e-19","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","197.81375418060202","0.5412645792594952","false","false","false","false"
"0.5|0.3|0.33|0.3|30","0.5","0.3","0.33","0.3","30","0.5328532796728406","0.16714672032715938","16.71467203271594","0.36/SN","0.016075267687790343","0.04875041469129139","0.1799872603469056","13.123684565561422","7.94273939870754","36.826398735346274","13.123684565561422","0.36/SN","false","7.94273939870754","9.487160948456228","0.022728945639803568","0.04875041469129139","14.37455046665066","36.826398735346274","0.3497297290924154","1.3877787807814457e-17","1.3877787807814457e-17","2.168404344971009e-19","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","197.81375418060202","0.5412645792594952","false","false","false","false"
