Temperature °C,NT,Stage,Phase,SAT wt%,MONO wt%,DI wt%,POLY wt%,PA wt%,NMP wt%,Trial classification
25.0,6,3,Extract,4.99972389,3.39163835,1.99863483,0.87847961,0.31747631,88.41404701,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,6,4,Raffinate,89.37139575,2.43513804,1.21345025,0.43855182,0.05008510,6.49137905,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,6,4,Extract,4.72319685,2.45121930,1.38371976,0.56361241,0.12209957,90.75615212,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,6,5,Raffinate,91.12244104,1.61339267,0.74301113,0.24920712,0.01746397,6.25448406,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,6,5,Extract,4.50025469,1.60062155,0.85260289,0.32282076,0.04332828,92.68037183,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,6,6,Raffinate,92.67047178,0.81997483,0.34515203,0.10780308,0.00485895,6.05173932,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,6,6,Extract,4.31393147,0.80338306,0.39873700,0.14078845,0.01225375,94.33090627,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,7,1,Raffinate,81.48797499,5.45516024,3.16483094,1.45244292,0.83076616,7.60882475,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,7,1,Extract,5.95431715,6.10181957,3.58454684,1.83842768,1.89763469,80.62325407,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,7,2,Raffinate,84.55051667,4.40740356,2.48411368,1.04502899,0.33809486,7.17484224,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,7,2,Extract,5.41704850,4.66400002,2.80474762,1.32324183,0.78891797,85.00204406,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,7,3,Raffinate,86.86830451,3.52877228,1.89201922,0.73105549,0.13417153,6.84567697,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,7,3,Extract,5.06907774,3.63554614,2.14315781,0.93096913,0.31945128,87.90179789,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,7,4,Raffinate,88.74940722,2.74513877,1.38088276,0.49140309,0.05184290,6.58132526,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,7,4,Extract,4.80811914,2.77900451,1.57148949,0.62989071,0.12561730,90.08587885,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,7,5,Raffinate,90.34246112,2.02165583,0.94408087,0.31045814,0.01929710,6.36204694,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,7,5,Extract,4.59961304,2.01917910,1.07996646,0.40062477,0.04749174,91.85312490,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,7,6,Raffinate,91.72991698,1.33744867,0.57471009,0.17531043,0.00666479,6.17594904,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,7,6,Extract,4.42688306,1.32074428,0.66102800,0.22775555,0.01663742,93.34695169,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,7,7,Raffinate,92.96416617,0.67783549,0.26572606,0.07546872,0.00184289,6.01496068,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,7,7,Extract,4.28010183,0.66266820,0.30738106,0.09871481,0.00466193,94.64647218,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,8,1,Raffinate,81.26131228,5.52728825,3.22204714,1.48296814,0.86364086,7.64274333,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,8,1,Extract,6.00050888,6.21461747,3.65206895,1.87796423,1.97052690,80.28431358,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,8,2,Raffinate,84.12414108,4.55389041,2.59352948,1.10217411,0.39099940,7.23526553,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,8,2,Extract,5.48488683,4.84671046,2.92766214,1.39464623,0.90920971,84.43688464,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,8,3,Raffinate,86.25714067,3.75695757,2.05156519,0.81246993,0.19215398,6.92971266,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,8,3,Extract,5.15610558,3.89549002,2.32118262,1.03278587,0.45496576,87.13947015,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,8,4,Raffinate,87.99083298,3.06006502,1.58562009,0.59012624,0.08776390,6.68559177,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,8,4,Extract,4.91025795,3.11892006,1.80076488,0.75431029,0.21112880,89.20461802,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,8,5,Raffinate,89.46014689,2.42072051,1.18473462,0.41457755,0.03805135,6.48176907,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,8,5,Extract,4.71308810,2.43546533,1.35123633,0.53295034,0.09283700,90.87442289,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,8,6,Raffinate,90.75607498,1.81236039,0.83775688,0.27268712,0.01571922,6.30540141,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,8,6,Extract,4.54693269,1.80373771,0.95986337,0.35258019,0.03885032,92.29803572,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,8,7,Raffinate,91.93104789,1.21988825,0.53275566,0.16139961,0.00597943,6.14892917,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,8,7,Extract,4.40235418,1.20246389,0.61336098,0.20992342,0.01495968,93.55693784,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,8,8,Raffinate,93.03110195,0.62706780,0.25869278,0.07539218,0.00184451,6.00590077,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,8,8,Extract,4.27219089,0.61259910,0.29937436,0.09866332,0.00467000,94.71250231,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,9,1,Raffinate,81.09096460,5.58045014,3.26411873,1.50460537,0.89199046,7.66787070,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,9,1,Extract,6.03587239,6.30051897,3.70210927,1.90619193,2.03361620,80.02169124,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,9,2,Raffinate,83.80954476,4.66362586,2.67418151,1.14169611,0.43048234,7.28046941,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,9,2,Extract,5.53637062,4.98589211,3.01851917,1.44406087,0.99853842,84.01661881,RESEARCH DIAGNOSTIC — NOT ACCEPTED
