Temperature °C,NT,Stage,Phase,SAT wt%,MONO wt%,DI wt%,POLY wt%,PA wt%,NMP wt%,Trial classification
50.0,8,6,Extract,6.76860946,1.24068181,0.81788354,0.29106069,0.03064481,90.85111968,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,8,7,Raffinate,89.62002256,0.72861125,0.43374796,0.12533351,0.00432951,9.08795520,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,8,7,Extract,6.60430571,0.79582700,0.51261037,0.16833329,0.01127440,91.90764923,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,8,8,Raffinate,90.41134407,0.36429981,0.20989829,0.05789624,0.00129846,8.95526312,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,8,8,Extract,6.46521302,0.39384007,0.24838530,0.07793780,0.00340729,92.81121653,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,9,1,Raffinate,78.70062384,4.86956033,3.11464525,1.42498340,0.84053238,11.04965480,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,9,1,Extract,9.18293699,6.46551203,3.71467693,1.90081232,1.99111654,76.74494519,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,9,2,Raffinate,81.98681425,3.68567444,2.46231342,1.03671420,0.39108590,10.43739779,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,9,2,Extract,8.20607315,4.50839953,2.90352553,1.37468681,0.94892260,82.05839239,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,9,3,Raffinate,84.17403815,2.87759143,1.93893962,0.76471116,0.20904988,10.03566975,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,9,3,Extract,7.68205665,3.38686278,2.28193611,1.01534523,0.51707412,85.11672511,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,9,4,Raffinate,85.79572724,2.27531486,1.51595408,0.56777033,0.09668540,9.74854809,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,9,4,Extract,7.33608940,2.61393543,1.78469053,0.75583032,0.24281193,87.26664239,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,9,5,Raffinate,87.05205974,1.79648564,1.16813552,0.41257898,0.04161942,9.52912070,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,9,5,Extract,7.08456039,2.02878861,1.37639992,0.55064759,0.10577223,88.85383127,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,9,6,Raffinate,88.06118982,1.39721417,0.87702046,0.28919991,0.02145928,9.35391636,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,9,6,Extract,6.89036356,1.55730653,1.03437330,0.38686140,0.05505760,90.07603760,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,9,7,Raffinate,88.93038078,1.03430603,0.62746830,0.19308478,0.00977811,9.20498200,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,9,7,Extract,6.72891960,1.13993705,0.74082494,0.25884886,0.02529544,91.10617410,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,9,8,Raffinate,89.70416789,0.69335655,0.40794135,0.11671610,0.00394969,9.07386841,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,9,8,Extract,6.58941108,0.75654402,0.48217479,0.15679640,0.01029365,92.00478006,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,9,9,Raffinate,90.42318652,0.35625519,0.20808387,0.05802795,0.00129957,8.95314689,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,9,9,Extract,6.46307524,0.38506218,0.24624335,0.07811792,0.00341061,92.82409071,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,10,1,Raffinate,78.57089418,4.90056729,3.14616257,1.44371805,0.86651291,11.07214500,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,10,1,Extract,9.22382411,6.52726542,3.75398868,1.92624775,2.05053611,76.51813792,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,10,2,Raffinate,81.76902136,3.74899394,2.52103608,1.06923226,0.41536131,10.47635505,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,10,2,Extract,8.25968583,4.60238539,2.97334752,1.41760505,1.00582180,81.74115441,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,10,3,Raffinate,83.87066149,2.97414038,2.02283220,0.80973312,0.23370795,10.08892486,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,10,3,Extract,7.74836398,3.51563037,2.38060531,1.07462238,0.57640492,84.70437304,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,10,4,Raffinate,85.41111604,2.40990181,1.62169532,0.62569242,0.11592626,9.81566814,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,10,4,Extract,7.41504741,2.78290839,1.90880791,0.83233492,0.29007792,86.77082345,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,10,5,Raffinate,86.58460466,1.96738067,1.29266912,0.48125352,0.06602543,9.60806659,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,10,5,Extract,7.17473061,2.23530458,1.52245978,0.64161446,0.16704054,88.25885002,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,10,6,Raffinate,87.54947233,1.60182991,1.01804501,0.35628370,0.03272432,9.44164473,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,10,6,Extract,6.98730737,1.79728927,1.20005776,0.47602624,0.08355394,89.45576543,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,10,7,Raffinate,88.37544867,1.27418267,0.78368461,0.25152701,0.01466585,9.30049118,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,10,7,Extract,6.83192614,1.41462252,0.92464088,0.33673062,0.03774109,90.45433876,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,10,8,Raffinate,89.10315707,0.96245504,0.57709686,0.17336491,0.00813496,9.17579116,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,10,8,Extract,6.69759195,1.05845156,0.68151450,0.23251827,0.02107944,91.30884428,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,10,9,Raffinate,89.78762045,0.65159399,0.38730181,0.11019214,0.00365478,9.05963683,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,10,9,Extract,6.57444660,0.71013692,0.45783773,0.14806648,0.00953271,92.09997957,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,10,10,Raffinate,90.45524174,0.33649910,0.20156541,0.05785370,0.00130039,8.94753965,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,10,10,Extract,6.45734457,0.36351881,0.23854312,0.07789091,0.00341384,92.85928874,RESEARCH DIAGNOSTIC — NOT ACCEPTED
