 -2.5000000E-02 ;  0.000000000000000E+000
 -2.4000000E-02 ;  0.000000000000000E+000
 -2.3000000E-02 ;  0.000000000000000E+000
 -2.2000000E-02 ;  0.000000000000000E+000
 -2.1000000E-02 ;  0.000000000000000E+000
 -2.0000000E-02 ;  0.000000000000000E+000
 -1.9000001E-02 ;  0.000000000000000E+000
 -1.7999999E-02 ;  0.000000000000000E+000
 -1.7000001E-02 ;  0.000000000000000E+000
 -1.5999999E-02 ;  0.000000000000000E+000
 -1.5000000E-02 ;  0.000000000000000E+000
 -1.4000000E-02 ;  0.000000000000000E+000
 -1.3000000E-02 ;  0.000000000000000E+000
 -1.2000000E-02 ;  0.000000000000000E+000
 -1.1000000E-02 ;  1.297031496324069E-002
 -9.9999998E-03 ;  8.507996133353768E-002
 -8.9999996E-03 ;  6.213144156638968E-002
 -7.9999994E-03 ;  6.726585724461566E-002
 -6.9999993E-03 ;  4.108616554103325E-003
 -5.9999991E-03 ;  3.261938224125231E-002
 -4.9999990E-03 ;  8.392539076762348E-002
 -3.9999988E-03 ;  1.861617640869040E-003
 -2.9999986E-03 ;  5.637190417641587E-003
 -1.9999985E-03 ;  1.589885687194359E-002
 -1.0000002E-03 ;  2.265515764364573E-002
  0.0000000E+00 ;  2.384604596953506E-002
  1.0000002E-03 ;  0.118616220577741     
  2.0000003E-03 ;  4.954789345038098E-002
  3.0000005E-03 ;  2.402786714162186E-002
  4.0000007E-03 ;  5.056002709048470E-002
  5.0000008E-03 ;  0.108158451490674     
  6.0000010E-03 ;  0.109536334792444     
  7.0000011E-03 ;  3.974572589432709E-002
  7.9999994E-03 ;  1.195279203694699E-002
  9.0000015E-03 ;  3.137991862163021E-002
  9.9999998E-03 ;  2.040557142472314E-002
  1.1000002E-02 ;  5.285636032264318E-003
  1.2000000E-02 ;  1.278364659067347E-002
  1.3000002E-02 ;  0.000000000000000E+000
  1.4000000E-02 ;  0.000000000000000E+000
  1.5000002E-02 ;  0.000000000000000E+000
  1.6000001E-02 ;  0.000000000000000E+000
  1.7000003E-02 ;  0.000000000000000E+000
  1.8000001E-02 ;  0.000000000000000E+000
  1.9000003E-02 ;  0.000000000000000E+000
  2.0000001E-02 ;  0.000000000000000E+000
  2.1000003E-02 ;  0.000000000000000E+000
  2.2000002E-02 ;  0.000000000000000E+000
  2.3000000E-02 ;  0.000000000000000E+000
  2.4000002E-02 ;  0.000000000000000E+000
  2.5000000E-02 ;  0.000000000000000E+000
